Project Name,Package Name,Architecture Smell,Cause of the Smell
keepassdroid-2.5.9,com.keepassdroid.tests,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.keepassdroid.tests.database
keepassdroid-2.5.9,com.keepassdroid.tests,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [PwDateTest]; [PwEntryTestV4]; [TypesTest]; [AccentTest]; [UnitTestSuite]; [PwEntryTestV3]; [PwGroupTest]; [TestUtil]. LCC (Lack of Component Cohesion) = 1.0
keepassdroid-2.5.9,<All packages>,Dense Structure, The tool detected the smell because all the analyzed components exhibit excessive and dense dependencies among themselves. Average degree = 6.56. All the dependencies among components: from: com.keepassdroid.tests to: com.keepassdroid.database; from: com.keepassdroid.tests to: com.keepassdroid.stream; from: com.keepassdroid.tests to: com.keepassdroid.utils; from: com.keepassdroid.tests to: com.keepassdroid.tests.database; from: com.keepassdroid.tests.database to: com.keepassdroid; from: com.keepassdroid.tests.database to: com.keepassdroid.database; from: com.keepassdroid.tests.database to: com.keepassdroid.database.edit; from: com.keepassdroid.tests.database to: com.keepassdroid.search; from: com.keepassdroid.tests.database to: com.keepassdroid.database.load; from: com.keepassdroid.tests.database to: com.keepassdroid.tests; from: com.keepassdroid.tests.database to: com.keepassdroid.database.save; from: com.keepassdroid.tests.database to: com.keepassdroid.crypto.engine; from: com.keepassdroid.tests.database to: com.keepassdroid.database.security; from: com.keepassdroid.tests.database to: com.keepassdroid.utils; from: com.keepassdroid.tests.crypto to: com.keepassdroid.crypto; from: com.keepassdroid.tests.crypto to: com.keepassdroid.crypto.finalkey; from: com.keepassdroid.tests.crypto to: com.keepassdroid.crypto.engine; from: com.keepassdroid.tests.crypto to: com.keepassdroid.stream; from: com.keepassdroid.tests.stream to: com.keepassdroid.stream; from: com.keepassdroid.tests.output to: com.keepassdroid.database; from: com.keepassdroid.tests.output to: com.keepassdroid.database.save; from: com.keepassdroid.tests.output to: com.keepassdroid.stream; from: com.keepassdroid.tests.output to: com.keepassdroid.tests.database; from: com.keepassdroid.tests.output to: com.keepassdroid.tests; from: com.keepassdroid.tests.utils to: com.keepassdroid.utils; from: com.keepassdroid.tests.search to: com.keepassdroid; from: com.keepassdroid.tests.search to: com.keepassdroid.database; from: com.keepassdroid.tests.search to: com.keepassdroid.tests.database; from: org.apache.commons.collections.map to: org.apache.commons.collections; from: org.apache.commons.collections.map to: org.apache.commons.collections.iterators; from: org.apache.commons.collections.keyvalue to: org.apache.commons.collections; from: org.apache.commons.collections.iterators to: org.apache.commons.collections; from: com.keepassdroid to: com.keepassdroid.icons; from: com.keepassdroid to: com.keepassdroid.database; from: com.keepassdroid to: com.keepassdroid.app; from: com.keepassdroid to: com.android.keepass; from: com.keepassdroid to: com.keepassdroid.search; from: com.keepassdroid to: com.keepassdroid.database.load; from: com.keepassdroid to: com.keepassdroid.database.save; from: com.keepassdroid to: com.keepassdroid.utils; from: com.keepassdroid to: com.keepassdroid.database.exception; from: com.keepassdroid to: com.keepassdroid.view; from: com.keepassdroid to: com.keepassdroid.timeout; from: com.keepassdroid to: com.keepassdroid.settings; from: com.keepassdroid to: com.keepassdroid.intents; from: com.keepassdroid to: com.keepassdroid.database.edit; from: com.keepassdroid to: com.keepassdroid.password; from: com.keepassdroid.settings to: com.keepassdroid.app; from: com.keepassdroid.settings to: com.keepassdroid.database; from: com.keepassdroid.settings to: com.keepassdroid; from: com.keepassdroid.settings to: com.keepassdroid.database.edit; from: com.keepassdroid.database to: com.keepassdroid.database.iterator; from: com.keepassdroid.database to: com.keepassdroid.database.security; from: com.keepassdroid.database to: com.keepassdroid.utils; from: com.keepassdroid.database to: com.keepassdroid.crypto.engine; from: com.keepassdroid.database to: com.keepassdroid.crypto.keyDerivation; from: com.keepassdroid.database to: com.keepassdroid.collections; from: com.keepassdroid.database to: com.keepassdroid.crypto; from: com.keepassdroid.database to: com.keepassdroid.stream; from: com.keepassdroid.database to: com.keepassdroid.crypto.finalkey; from: com.keepassdroid.database to: org.apache.commons.collections.map; from: com.keepassdroid.database to: com.keepassdroid.app; from: com.keepassdroid.database.edit to: com.keepassdroid; from: com.keepassdroid.database.edit to: com.keepassdroid.database; from: com.keepassdroid.database.edit to: com.keepassdroid.app; from: com.keepassdroid.database.edit to: com.keepassdroid.utils; from: com.keepassdroid.database.edit to: com.keepassdroid.dialog; from: com.keepassdroid.database.iterator to: com.keepassdroid.database; from: com.keepassdroid.database.load to: com.keepassdroid; from: com.keepassdroid.database.load to: com.keepassdroid.database; from: com.keepassdroid.database.load to: com.keepassdroid.stream; from: com.keepassdroid.database.load to: com.keepassdroid.crypto; from: com.keepassdroid.database.load to: com.keepassdroid.utils; from: com.keepassdroid.database.load to: com.keepassdroid.database.security; from: com.keepassdroid.database.load to: com.keepassdroid.crypto.engine; from: com.keepassdroid.database.save to: com.keepassdroid.database; from: com.keepassdroid.database.save to: com.keepassdroid.stream; from: com.keepassdroid.database.save to: com.keepassdroid.crypto.engine; from: com.keepassdroid.database.save to: com.keepassdroid.crypto.keyDerivation; from: com.keepassdroid.database.save to: com.keepassdroid.database.security; from: com.keepassdroid.database.save to: com.keepassdroid.crypto; from: com.keepassdroid.database.save to: com.keepassdroid.utils; from: com.keepassdroid.database.save to: com.keepassdroid.collections; from: com.keepassdroid.database.exception to: com.keepassdroid.utils; from: com.keepassdroid.crypto.finalkey to: com.keepassdroid.crypto; from: com.keepassdroid.crypto to: com.keepassdroid.stream; from: com.keepassdroid.crypto to: com.keepassdroid.database; from: com.keepassdroid.crypto to: com.keepassdroid.crypto.engine; from: com.keepassdroid.crypto.keyDerivation to: com.keepassdroid.crypto.finalkey; from: com.keepassdroid.crypto.keyDerivation to: com.keepassdroid.database; from: com.keepassdroid.crypto.keyDerivation to: com.keepassdroid.crypto; from: com.keepassdroid.crypto.keyDerivation to: com.keepassdroid.stream; from: com.keepassdroid.crypto.keyDerivation to: com.keepassdroid.collections; from: com.keepassdroid.crypto.keyDerivation to: com.keepassdroid.utils; from: com.keepassdroid.crypto.engine to: com.keepassdroid.crypto; from: com.keepassdroid.compat to: com.keepassdroid.utils; from: com.keepassdroid.fragments to: com.keepassdroid.biometric; from: com.keepassdroid.fragments to: com.keepassdroid; from: com.keepassdroid.fragments to: com.keepassdroid.database.edit; from: com.keepassdroid.fragments to: com.android.keepass; from: com.keepassdroid.fragments to: com.keepassdroid.compat; from: com.keepassdroid.fragments to: com.keepassdroid.intents; from: com.keepassdroid.fragments to: com.keepassdroid.settings; from: com.keepassdroid.fragments to: com.keepassdroid.app; from: com.keepassdroid.fragments to: com.keepassdroid.utils; from: com.keepassdroid.app to: com.keepassdroid; from: com.keepassdroid.app to: com.keepassdroid.fileselect; from: com.keepassdroid.app to: com.keepassdroid.intents; from: com.keepassdroid.app to: com.keepassdroid.compat; from: com.keepassdroid.fileselect to: com.keepassdroid.utils; from: com.keepassdroid.fileselect to: com.keepassdroid.database.edit; from: com.keepassdroid.fileselect to: com.keepassdroid; from: com.keepassdroid.fileselect to: com.keepassdroid.view; from: com.keepassdroid.fileselect to: com.keepassdroid.compat; from: com.keepassdroid.fileselect to: com.keepassdroid.intents; from: com.keepassdroid.fileselect to: com.keepassdroid.app; from: com.keepassdroid.fileselect to: com.keepassdroid.settings; from: com.keepassdroid.timers to: com.keepassdroid.intents; from: com.keepassdroid.stream to: com.keepassdroid.utils; from: com.keepassdroid.timeout to: com.android.keepass; from: com.keepassdroid.timeout to: com.keepassdroid.app; from: com.keepassdroid.timeout to: com.keepassdroid.timers; from: com.keepassdroid.utils to: com.keepassdroid.database; from: com.keepassdroid.utils to: com.keepassdroid.stream; from: com.keepassdroid.utils to: com.keepassdroid.compat; from: com.keepassdroid.search to: com.keepassdroid; from: com.keepassdroid.search to: com.keepassdroid.database; from: com.keepassdroid.search to: com.android.keepass; from: com.keepassdroid.search to: com.keepassdroid.app; from: com.keepassdroid.biometric to: com.keepassdroid.compat; from: com.keepassdroid.icons to: org.apache.commons.collections.map; from: com.keepassdroid.icons to: com.keepassdroid.database; from: com.keepassdroid.view to: com.keepassdroid.app; from: com.keepassdroid.view to: com.keepassdroid; from: com.keepassdroid.view to: com.keepassdroid.database; from: com.keepassdroid.view to: com.keepassdroid.database.edit; from: com.keepassdroid.view to: com.keepassdroid.settings; from: com.keepassdroid.view to: com.keepassdroid.assets; from: com.keepassdroid.view to: com.keepassdroid.database.security; from: com.keepassdroid.collections to: com.keepassdroid.stream; from: com.keepassdroid.assets to: org.apache.commons.collections.map.
keepassdroid-2.5.9,com.keepassdroid.tests,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.keepassdroid.tests; com.keepassdroid.tests.database; com.keepassdroid.tests
keepassdroid-2.5.9,com.keepassdroid.tests.database,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.keepassdroid.database.save
keepassdroid-2.5.9,com.keepassdroid.tests.database,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [DeleteEntry; TestData]; [Kdb3]; [Kdb4]; [Kdb4Header]; [ProtectedBinaryTest]; [EntryV4]; [Kdb3Twofish]; [SprEngineTest]. LCC (Lack of Component Cohesion) = 0.89
keepassdroid-2.5.9,org.apache.commons.collections.map,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.apache.commons.collections.iterators
keepassdroid-2.5.9,org.apache.commons.collections.map,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AbstractHashedMap; AbstractHashedMap.HashMapIterator; AbstractHashedMap.EntrySet; AbstractHashedMap.KeySet; AbstractHashedMap.Values; AbstractHashedMap.HashIterator; AbstractReferenceMap; AbstractReferenceMap.ReferenceEntry; AbstractReferenceMap.ReferenceEntrySetIterator; AbstractReferenceMap.ReferenceMapIterator; ReferenceMap]; [AbstractHashedMap.EntrySetIterator]; [AbstractHashedMap.KeySetIterator]; [AbstractHashedMap.ValuesIterator]; [AbstractHashedMap.HashEntry]; [AbstractReferenceMap.ReferenceEntrySet]; [AbstractReferenceMap.ReferenceKeySet]; [AbstractReferenceMap.ReferenceValues]; [AbstractReferenceMap.ReferenceKeySetIterator]; [AbstractReferenceMap.ReferenceValuesIterator]; [AbstractReferenceMap.SoftRef]; [AbstractReferenceMap.WeakRef]. LCC (Lack of Component Cohesion) = 0.55
keepassdroid-2.5.9,com.keepassdroid,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 36
keepassdroid-2.5.9,com.keepassdroid,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.keepassdroid.icons; com.keepassdroid.search; com.keepassdroid.database.load; com.keepassdroid.database.save; com.keepassdroid.view; com.keepassdroid.settings
