Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
keepassdroid-2.5.9,com.keepassdroid.tests,UnitTestSuite,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
keepassdroid-2.5.9,com.keepassdroid.tests,UnitTestSuite,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
keepassdroid-2.5.9,org.apache.commons.collections.map,AbstractHashedMap,Insufficient Modularization,The tool detected the smell in this class because the class contains large number of methods. Total methods in the class: 50 methods
keepassdroid-2.5.9,org.apache.commons.collections.map,AbstractHashedMap.HashMapIterator,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
keepassdroid-2.5.9,org.apache.commons.collections.map,AbstractHashedMap.HashMapIterator,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
keepassdroid-2.5.9,org.apache.commons.collections.map,AbstractHashedMap.EntrySet,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: parent
keepassdroid-2.5.9,org.apache.commons.collections.map,AbstractHashedMap.EntrySet,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
keepassdroid-2.5.9,org.apache.commons.collections.map,AbstractHashedMap.EntrySetIterator,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
keepassdroid-2.5.9,org.apache.commons.collections.map,AbstractHashedMap.EntrySetIterator,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
keepassdroid-2.5.9,org.apache.commons.collections.map,AbstractHashedMap.KeySet,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: parent
keepassdroid-2.5.9,org.apache.commons.collections.map,AbstractHashedMap.KeySet,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
keepassdroid-2.5.9,org.apache.commons.collections.map,AbstractHashedMap.KeySetIterator,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
keepassdroid-2.5.9,org.apache.commons.collections.map,AbstractHashedMap.KeySetIterator,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
keepassdroid-2.5.9,org.apache.commons.collections.map,AbstractHashedMap.Values,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: parent
keepassdroid-2.5.9,org.apache.commons.collections.map,AbstractHashedMap.Values,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
keepassdroid-2.5.9,org.apache.commons.collections.map,AbstractHashedMap.ValuesIterator,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
