Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
keepassdroid-2.5.9,com.keepassdroid.tests,PwEntryTestV4,testAssign,Magic Number,The method contains a magic number: 123412432109L,34
keepassdroid-2.5.9,com.keepassdroid.tests,PwEntryTestV4,testAssign,Magic Number,The method contains a magic number: 5,34
keepassdroid-2.5.9,com.keepassdroid.tests,TypesTest,testReadWriteLong,Magic Number,The method contains a magic number: 8,63
keepassdroid-2.5.9,com.keepassdroid.tests,TypesTest,testReadWriteLong,Magic Number,The method contains a magic number: 8,63
keepassdroid-2.5.9,com.keepassdroid.tests,TypesTest,testReadWriteLong,Magic Number,The method contains a magic number: 8,63
keepassdroid-2.5.9,com.keepassdroid.tests,TypesTest,testReadWriteInt,Magic Number,The method contains a magic number: 4,91
keepassdroid-2.5.9,com.keepassdroid.tests,TypesTest,testReadWriteInt,Magic Number,The method contains a magic number: 4,91
keepassdroid-2.5.9,com.keepassdroid.tests,TypesTest,testReadWriteInt,Magic Number,The method contains a magic number: 4,91
keepassdroid-2.5.9,com.keepassdroid.tests,TypesTest,testReadWriteInt,Magic Number,The method contains a magic number: 4,91
keepassdroid-2.5.9,com.keepassdroid.tests,TypesTest,testReadWriteShortOne,Magic Number,The method contains a magic number: 2,115
keepassdroid-2.5.9,com.keepassdroid.tests,TypesTest,testReadWriteShortOne,Magic Number,The method contains a magic number: 2,115
keepassdroid-2.5.9,com.keepassdroid.tests,TypesTest,testReadWriteShort,Magic Number,The method contains a magic number: 2,140
keepassdroid-2.5.9,com.keepassdroid.tests,TypesTest,testReadWriteShort,Magic Number,The method contains a magic number: 2,140
keepassdroid-2.5.9,com.keepassdroid.tests,TypesTest,testReadWriteShort,Magic Number,The method contains a magic number: 2,140
keepassdroid-2.5.9,com.keepassdroid.tests,TypesTest,testDate,Magic Number,The method contains a magic number: 2008,181
keepassdroid-2.5.9,com.keepassdroid.tests,TypesTest,testDate,Magic Number,The method contains a magic number: 2,181
keepassdroid-2.5.9,com.keepassdroid.tests,TypesTest,testDate,Magic Number,The method contains a magic number: 3,181
keepassdroid-2.5.9,com.keepassdroid.tests,TypesTest,testDate,Magic Number,The method contains a magic number: 4,181
keepassdroid-2.5.9,com.keepassdroid.tests,TypesTest,testDate,Magic Number,The method contains a magic number: 5,181
keepassdroid-2.5.9,com.keepassdroid.tests,TypesTest,testDate,Magic Number,The method contains a magic number: 2008,181
keepassdroid-2.5.9,com.keepassdroid.tests,TypesTest,testDate,Magic Number,The method contains a magic number: 3,181
keepassdroid-2.5.9,com.keepassdroid.tests,TypesTest,testDate,Magic Number,The method contains a magic number: 4,181
keepassdroid-2.5.9,com.keepassdroid.tests,TypesTest,testDate,Magic Number,The method contains a magic number: 5,181
keepassdroid-2.5.9,com.keepassdroid.tests,TypesTest,testUUID,Magic Number,The method contains a magic number: 16,200
keepassdroid-2.5.9,com.keepassdroid.tests,TypesTest,testULongMax,Magic Number,The method contains a magic number: 8,212
keepassdroid-2.5.9,com.keepassdroid.tests,PwEntryTestV3,testCreation,Magic Number,The method contains a magic number: 2009,63
keepassdroid-2.5.9,com.keepassdroid.tests,PwEntryTestV3,testCreation,Magic Number,The method contains a magic number: 3,63
keepassdroid-2.5.9,com.keepassdroid.tests,PwEntryTestV3,testCreation,Magic Number,The method contains a magic number: 23,63
keepassdroid-2.5.9,com.keepassdroid.tests,TestUtil,extractKey,Magic Number,The method contains a magic number: 1024,36
keepassdroid-2.5.9,com.keepassdroid.tests.database,Kdb4Header,testReadHeader,Magic Number,The method contains a magic number: 6000,39
