Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
keepassdroid-2.5.9,com.keepassdroid.tests,PwDateTest,testDate,7,1,0,29,1,,
keepassdroid-2.5.9,com.keepassdroid.tests,PwEntryTestV4,testAssign,22,1,0,34,1,,
keepassdroid-2.5.9,com.keepassdroid.tests,TypesTest,testReadWriteLongZero,3,1,0,39,1,,
keepassdroid-2.5.9,com.keepassdroid.tests,TypesTest,testReadWriteLongMax,3,1,0,44,1,,
keepassdroid-2.5.9,com.keepassdroid.tests,TypesTest,testReadWriteLongMin,3,1,0,49,1,,
keepassdroid-2.5.9,com.keepassdroid.tests,TypesTest,testReadWriteLongRnd,6,1,0,54,1,,
keepassdroid-2.5.9,com.keepassdroid.tests,TypesTest,testReadWriteLong,8,1,1,63,0,,
keepassdroid-2.5.9,com.keepassdroid.tests,TypesTest,testReadWriteIntZero,3,1,0,76,1,,
keepassdroid-2.5.9,com.keepassdroid.tests,TypesTest,testReadWriteIntMin,3,1,0,81,1,,
keepassdroid-2.5.9,com.keepassdroid.tests,TypesTest,testReadWriteIntMax,3,1,0,86,1,,
keepassdroid-2.5.9,com.keepassdroid.tests,TypesTest,testReadWriteInt,11,2,1,91,0,,
keepassdroid-2.5.9,com.keepassdroid.tests,TypesTest,setArray,5,2,4,109,0,,
keepassdroid-2.5.9,com.keepassdroid.tests,TypesTest,testReadWriteShortOne,9,1,0,115,1,,
keepassdroid-2.5.9,com.keepassdroid.tests,TypesTest,testReadWriteShortMin,3,1,0,130,1,,
keepassdroid-2.5.9,com.keepassdroid.tests,TypesTest,testReadWriteShortMax,3,1,0,135,1,,
keepassdroid-2.5.9,com.keepassdroid.tests,TypesTest,testReadWriteShort,8,1,1,140,0,,
keepassdroid-2.5.9,com.keepassdroid.tests,TypesTest,testReadWriteByteZero,3,1,0,153,1,,
keepassdroid-2.5.9,com.keepassdroid.tests,TypesTest,testReadWriteByteMin,3,1,0,158,1,,
keepassdroid-2.5.9,com.keepassdroid.tests,TypesTest,testReadWriteByteMax,3,1,0,163,1,,
keepassdroid-2.5.9,com.keepassdroid.tests,TypesTest,testReadWriteByte,8,1,1,168,0,,
keepassdroid-2.5.9,com.keepassdroid.tests,TypesTest,testDate,14,1,0,181,1,,
keepassdroid-2.5.9,com.keepassdroid.tests,TypesTest,testUUID,8,1,0,200,1,,
keepassdroid-2.5.9,com.keepassdroid.tests,TypesTest,testULongMax,12,2,0,212,1,,
keepassdroid-2.5.9,com.keepassdroid.tests,AccentTest,testOpen,9,1,0,41,1,,
keepassdroid-2.5.9,com.keepassdroid.tests,PwEntryTestV3,setUp,4,1,0,42,0,,
keepassdroid-2.5.9,com.keepassdroid.tests,PwEntryTestV3,testName,3,1,0,50,1,,
keepassdroid-2.5.9,com.keepassdroid.tests,PwEntryTestV3,testPassword,5,1,0,55,1,,
keepassdroid-2.5.9,com.keepassdroid.tests,PwEntryTestV3,testCreation,7,1,0,63,1,,
keepassdroid-2.5.9,com.keepassdroid.tests,PwGroupTest,setUp,4,1,0,39,0,,
keepassdroid-2.5.9,com.keepassdroid.tests,PwGroupTest,testGroupName,3,1,0,47,1,,
keepassdroid-2.5.9,com.keepassdroid.tests,TestUtil,extractKey,15,3,3,36,0,,
keepassdroid-2.5.9,com.keepassdroid.tests,TestUtil,getKeyFileInputStream,8,2,2,55,0,,
keepassdroid-2.5.9,com.keepassdroid.tests,TestUtil,getAppPath,4,1,2,65,0,,
keepassdroid-2.5.9,com.keepassdroid.tests.database,DeleteEntry,testDelete,27,1,0,52,1,,
keepassdroid-2.5.9,com.keepassdroid.tests.database,DeleteEntry,getEntry,10,3,2,97,0,,
