Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
keepassdroid-2.5.9,com.keepassdroid.tests.database,DeleteEntry,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
keepassdroid-2.5.9,com.keepassdroid.tests.output,PwManagerOutputTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
keepassdroid-2.5.9,com.keepassdroid,Database,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
keepassdroid-2.5.9,com.keepassdroid,GroupBaseActivity,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
keepassdroid-2.5.9,com.keepassdroid,EntryActivity,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 11
keepassdroid-2.5.9,com.keepassdroid,GroupActivity,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 13
keepassdroid-2.5.9,com.keepassdroid,EntryEditActivity,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 18
keepassdroid-2.5.9,com.keepassdroid.settings,AppSettingsFragement,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: KEYFILE_DEFAULT (35)
keepassdroid-2.5.9,com.keepassdroid.settings,DBSettingsFragement,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: KEYFILE_DEFAULT (39)
keepassdroid-2.5.9,com.keepassdroid.settings,MainSettingsFragement,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: KEYFILE_DEFAULT (35)
keepassdroid-2.5.9,com.keepassdroid.database,PwIconStandard,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: FIRST (25)
keepassdroid-2.5.9,com.keepassdroid.database,PwGroup,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
keepassdroid-2.5.9,com.keepassdroid.database,PwGroup.GroupNameComparator,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
keepassdroid-2.5.9,com.keepassdroid.database,PwDatabaseV4,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 20
keepassdroid-2.5.9,com.keepassdroid.database,PwDatabase,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
keepassdroid-2.5.9,com.keepassdroid.database,PwDbHeaderV4,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
keepassdroid-2.5.9,com.keepassdroid.database,SearchParametersV4,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: DEFAULT (23)
keepassdroid-2.5.9,com.keepassdroid.database,PwGroupV4,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
keepassdroid-2.5.9,com.keepassdroid.database,PwEntryV4,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
keepassdroid-2.5.9,com.keepassdroid.database,PwEntry.EntryNameComparator,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
keepassdroid-2.5.9,com.keepassdroid.database.load,ImporterV3,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 12
keepassdroid-2.5.9,com.keepassdroid.database.load,ImporterV4,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 22
keepassdroid-2.5.9,com.keepassdroid.database.save,PwDbV4Output,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 28
keepassdroid-2.5.9,com.keepassdroid.database.save,PwDbV3Output,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 12
keepassdroid-2.5.9,com.keepassdroid.database.save,PwDbHeaderOutputV4,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
keepassdroid-2.5.9,com.keepassdroid.crypto.keyDerivation,KdfFactory,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: kdfList (28)
keepassdroid-2.5.9,com.keepassdroid.compat,ContentResolverCompat,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: available (28)
keepassdroid-2.5.9,com.keepassdroid.compat,PRNGFixes.LinuxPRNGSecureRandom,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
keepassdroid-2.5.9,com.keepassdroid.compat,StorageAF,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ACTION_OPEN_DOCUMENT (37)
keepassdroid-2.5.9,com.keepassdroid.fragments,PasswordFragment,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 16
keepassdroid-2.5.9,com.keepassdroid.fileselect,FileSelectActivity,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 17
keepassdroid-2.5.9,com.keepassdroid.utils,Types,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ULONG_MAX_VALUE (60)
