Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
keepassdroid-2.5.9,com.keepassdroid.tests,PwDateTest,0,0,1,1,9,1,0,0,-1.0,0,1,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/keepassdroid-2.5.9/app/src/androidTest/java/com/keepassdroid/tests/PwDateTest.java,28
keepassdroid-2.5.9,com.keepassdroid.tests,PwEntryTestV4,0,0,1,1,24,1,0,0,-1.0,0,1,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/keepassdroid-2.5.9/app/src/androidTest/java/com/keepassdroid/tests/PwEntryTestV4.java,33
keepassdroid-2.5.9,com.keepassdroid.tests,TypesTest,0,0,21,16,124,24,0,0,-1.0,0,4,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/keepassdroid-2.5.9/app/src/androidTest/java/com/keepassdroid/tests/TypesTest.java,37
keepassdroid-2.5.9,com.keepassdroid.tests,AccentTest,4,0,1,1,15,1,0,0,0.0,0,1,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/keepassdroid-2.5.9/app/src/androidTest/java/com/keepassdroid/tests/AccentTest.java,33
keepassdroid-2.5.9,com.keepassdroid.tests,UnitTestSuite,0,0,0,0,2,0,0,0,-1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/keepassdroid-2.5.9/app/src/androidTest/java/com/keepassdroid/tests/UnitTestSuite.java,16
keepassdroid-2.5.9,com.keepassdroid.tests,PwEntryTestV3,1,0,4,4,22,4,0,0,0.0,0,2,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/keepassdroid-2.5.9/app/src/androidTest/java/com/keepassdroid/tests/PwEntryTestV3.java,39
keepassdroid-2.5.9,com.keepassdroid.tests,PwGroupTest,1,0,2,2,10,2,0,0,0.0,0,2,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/keepassdroid-2.5.9/app/src/androidTest/java/com/keepassdroid/tests/PwGroupTest.java,35
keepassdroid-2.5.9,com.keepassdroid.tests,TestUtil,0,0,3,3,29,6,0,0,-1.0,4,2,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/keepassdroid-2.5.9/app/src/androidTest/java/com/keepassdroid/tests/TestUtil.java,35
keepassdroid-2.5.9,com.keepassdroid.tests.database,DeleteEntry,7,0,3,1,56,7,0,0,0.0,0,8,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/keepassdroid-2.5.9/app/src/androidTest/java/com/keepassdroid/tests/database/DeleteEntry.java,43
keepassdroid-2.5.9,com.keepassdroid.tests.database,Kdb3,0,0,3,2,19,3,0,0,-1.0,0,2,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/keepassdroid-2.5.9/app/src/androidTest/java/com/keepassdroid/tests/database/Kdb3.java,36
keepassdroid-2.5.9,com.keepassdroid.tests.database,Kdb4,1,0,10,9,77,10,0,0,0.4,0,7,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/keepassdroid-2.5.9/app/src/androidTest/java/com/keepassdroid/tests/database/Kdb4.java,49
keepassdroid-2.5.9,com.keepassdroid.tests.database,Kdb4Header,0,0,1,1,12,1,0,0,-1.0,0,3,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/keepassdroid-2.5.9/app/src/androidTest/java/com/keepassdroid/tests/database/Kdb4Header.java,38
keepassdroid-2.5.9,com.keepassdroid.tests.database,ProtectedBinaryTest,0,0,1,1,20,1,0,0,-1.0,0,2,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/keepassdroid-2.5.9/app/src/androidTest/java/com/keepassdroid/tests/database/ProtectedBinaryTest.java,40
keepassdroid-2.5.9,com.keepassdroid.tests.database,TestData,4,0,4,4,31,6,0,0,0.0,6,3,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/keepassdroid-2.5.9/app/src/androidTest/java/com/keepassdroid/tests/database/TestData.java,35
keepassdroid-2.5.9,com.keepassdroid.tests.database,EntryV4,0,0,1,1,19,1,0,0,-1.0,0,2,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/keepassdroid-2.5.9/app/src/androidTest/java/com/keepassdroid/tests/database/EntryV4.java,29
keepassdroid-2.5.9,com.keepassdroid.tests.database,Kdb3Twofish,0,0,1,1,11,1,0,0,-1.0,0,3,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/keepassdroid-2.5.9/app/src/androidTest/java/com/keepassdroid/tests/database/Kdb3Twofish.java,37
keepassdroid-2.5.9,com.keepassdroid.tests.database,SprEngineTest,5,0,3,2,28,4,0,0,0.0,0,5,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/keepassdroid-2.5.9/app/src/androidTest/java/com/keepassdroid/tests/database/SprEngineTest.java,42
keepassdroid-2.5.9,com.keepassdroid.tests.crypto,AESTest,1,0,2,1,27,2,0,0,0.0,0,1,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/keepassdroid-2.5.9/app/src/androidTest/java/com/keepassdroid/tests/crypto/AESTest.java,40
keepassdroid-2.5.9,com.keepassdroid.tests.crypto,FinalKeyTest,1,0,3,2,23,3,0,0,0.0,0,2,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/keepassdroid-2.5.9/app/src/androidTest/java/com/keepassdroid/tests/crypto/FinalKeyTest.java,33
keepassdroid-2.5.9,com.keepassdroid.tests.crypto,CipherTest,1,0,2,2,39,2,0,0,0.0,0,5,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/keepassdroid-2.5.9/app/src/androidTest/java/com/keepassdroid/tests/crypto/CipherTest.java,46
keepassdroid-2.5.9,com.keepassdroid.tests.stream,HashedBlock,1,0,4,3,51,7,0,0,0.0,0,2,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/keepassdroid-2.5.9/app/src/androidTest/java/com/keepassdroid/tests/stream/HashedBlock.java,38
keepassdroid-2.5.9,com.keepassdroid.tests.output,PwManagerOutputTest,1,0,7,6,76,9,0,0,0.0,0,8,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/keepassdroid-2.5.9/app/src/androidTest/java/com/keepassdroid/tests/output/PwManagerOutputTest.java,53
keepassdroid-2.5.9,com.keepassdroid.tests.utils,StrUtilTest,8,0,5,5,25,5,0,0,0.4,0,1,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/keepassdroid-2.5.9/app/src/androidTest/java/com/keepassdroid/tests/utils/StrUtilTest.java,30
keepassdroid-2.5.9,com.keepassdroid.tests.search,SearchTest,1,0,5,4,28,5,0,0,0.0,0,3,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/keepassdroid-2.5.9/app/src/androidTest/java/com/keepassdroid/tests/search/SearchTest.java,40
keepassdroid-2.5.9,org.apache.commons.collections.map,AbstractHashedMap,31,0,50,16,1047,103,1,0,0.04,7,3,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/keepassdroid-2.5.9/app/src/main/java/org/apache/commons/collections/map/AbstractHashedMap.java,38
keepassdroid-2.5.9,org.apache.commons.collections.map,AbstractHashedMap.HashMapIterator,0,0,0,0,32,0,0,0,-1.0,0,1,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/keepassdroid-2.5.9/app/src/main/java/org/apache/commons/collections/map/AbstractHashedMap.java,738
