Project Name,Package Name,Architecture Smell,Cause of the Smell
materialistic-3.3,io.github.hidroh.materialistic,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 119
materialistic-3.3,io.github.hidroh.materialistic,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): io.github.hidroh.materialistic.widget
materialistic-3.3,io.github.hidroh.materialistic,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [DrawerActivityLoginTest; UserActivity; Preferences; OfflineWebActivity; LazyLoadFragment; Application; PopularActivity; WebFragment; BaseFragment; LauncherActivity; AppUtils; BaseStoriesActivity; Scrollable; BestActivity; NewActivity; ItemActivity; BaseListActivity; PopupSettingsFragment; SubmitActivity; ListActivity; AdBlocker; CustomTabsDelegate; DrawerActivity; LoginActivity; MultiPaneListener; ActivityModule; AskActivity; ThemedActivity; ActionViewResolver; ItemFragment; AlertDialogBuilder; AlertDialogBuilder.Impl; PreferencesActivity; Navigable; Injectable; ListFragment; InjectableActivity; FeedbackActivity; SettingsActivity; SearchActivity; FontCache; BaseListFragment; FavoriteActivityTest; TestApplication; WebFragmentLocalTest; UserActivityTest; ItemActivityTest; SettingsActivityTest; FeedbackActivityTest; PopularActivityTest; SearchActivityTest; SubmitActivityTest; ThreadPreviewActivityTest; FavoriteActivityEmptyTest; AppUtilsTest; WebFragmentTest; ComposeActivityTest; PreferencesActivityTest; KeyDelegate; ComposeActivity; FavoriteActivity; ThreadPreviewActivity; FavoriteFragment; UiModule; ReadabilityFragmentLazyLoadTest; OfflineWebActivityTest; TestActivityModule; ResourcesProvider; DataModule; StoryRecyclerViewAdapterTest; PreferencesThemeTest; NestedScrollViewScrollHelperTest; RecyclerViewScrollHelperTest; StoriesActivityTest; JobsActivity; ShowActivity; PreferencesMigrationTest; KeyDelegateTest; PreferencesActivityTest.TestPreferencesActivity; FabAwareScrollBehavior; MenuTintDelegate; KeyDelegate.RecyclerViewHelper; KeyDelegate.NestedScrollViewHelper; AccountAuthenticatorActivity; StoryListViewModel]; [DrawerActivityTest]; [KeyDelegate.BackInterceptor]; [UserActivity.UserResponseListener]; [ComposeActivity.ComposeCallback]; [Preferences.SwipeAction]; [Preferences.StoryViewMode]; [Preferences.BoolToStringPref]; [Preferences.Theme]; [Preferences.Offline]; [Preferences.Observable]; [Preferences.Observer]; [WebFragment.ReadabilityCallback]; [WebFragment.ItemResponseListener]; [WebFragment.PdfAndroidJavascriptBridge]; [WebFragment.Callbacks]; [AppUtils.SystemUiHelper]; [ItemActivity.ItemResponseListener]; [ItemActivity.VoteCallback]; [PopupSettingsFragment.PreferenceFragment]; [PopupSettingsFragment.BottomSheetDialog]; [SubmitActivity.SubmitCallback]; [CustomTabsDelegate.ServiceConnection]; [LoginActivity.LoginCallback]; [NetworkModule]; [NetworkModule.ConnectionAwareInterceptor]; [NetworkModule.CacheOverrideNetworkInterceptor]; [NetworkModule.LoggingInterceptor]; [ItemFragment.ItemResponseListener]; [ItemFragment.ItemChangedListener]; [AndroidUtils]; [AndroidUtils.TextUtils]; [PreferencesActivity.SettingsFragment]; [ListFragment.RefreshCallback]; [FeedbackActivity.FeedbackCallback]. LCC (Lack of Component Cohesion) = 0.29
materialistic-3.3,io.github.hidroh.materialistic,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: io.github.hidroh.materialistic; io.github.hidroh.materialistic.test; io.github.hidroh.materialistic
materialistic-3.3,io.github.hidroh.materialistic,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: io.github.hidroh.materialistic; io.github.hidroh.materialistic.accounts; io.github.hidroh.materialistic
materialistic-3.3,io.github.hidroh.materialistic,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: io.github.hidroh.materialistic; io.github.hidroh.materialistic.data; io.github.hidroh.materialistic
materialistic-3.3,io.github.hidroh.materialistic,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: io.github.hidroh.materialistic; io.github.hidroh.materialistic.widget; io.github.hidroh.materialistic
materialistic-3.3,io.github.hidroh.materialistic.widget,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 48
materialistic-3.3,io.github.hidroh.materialistic.widget,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [NavFloatingActionButtonTest; NavFloatingActionButton]; [FlatCardView; ListRecyclerViewAdapter; ListRecyclerViewAdapter.ItemViewHolder; StoryRecyclerViewAdapter; ItemRecyclerViewAdapter; SinglePageItemRecyclerViewAdapter; MultiPageItemRecyclerViewAdapter; PopupMenu; PopupMenu.Impl; RecyclerViewAdapter; SubmissionRecyclerViewAdapter; TextView; SubmissionViewHolder; StoryView; ToggleItemViewHolder; ThreadPreviewRecyclerViewAdapter; ItemRecyclerViewAdapter.ItemViewHolder; FavoriteRecyclerViewAdapter]; [ItemRecyclerViewAdapter.PositionCallback]; [ItemRecyclerViewAdapter.ItemResponseListener]; [ItemRecyclerViewAdapter.VoteCallback]; [PeekabooTouchHelperCallback; FavoriteRecyclerViewAdapter.ItemTouchHelperCallback; StoryRecyclerViewAdapter.ItemTouchHelperCallback]; [ItemPagerAdapter; ViewPager]; [ItemPagerAdapter.Builder]; [IconButton]; [AsteriskSpan]; [TintableTextView]; [SinglePageItemRecyclerViewAdapter.SavedState]; [CommentItemDecoration]; [PopupMenu.OnMenuItemClickListener]; [FavoriteRecyclerViewAdapter.ActionModeDelegate]; [FavoriteRecyclerViewAdapter.VoteCallback]; [CacheableWebView; WebView; AdBlockWebViewClient]; [CacheableWebView.ArchiveClient]; [WebView.HistoryWebViewClient]; [ListRecyclerViewAdapter.ShowMoreOptionsListener]; [SnappyLinearLayoutManager]; [StoryRecyclerViewAdapter.UpdateListener]; [StoryRecyclerViewAdapter.ItemResponseListener]; [StoryRecyclerViewAdapter.VoteCallback]; [AppBarSwipeRefreshLayout]. LCC (Lack of Component Cohesion) = 0.52
materialistic-3.3,io.github.hidroh.materialistic.test,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): io.github.hidroh.materialistic
materialistic-3.3,io.github.hidroh.materialistic.test,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [TestItem]; [TestReadabilityActivity]; [TestRunner]; [InMemoryDatabase]; [ListActivity; TestListActivity]; [TestLayoutManager]; [TestWebItem]; [WebActivity]; [TestFavoriteActivity]; [InMemoryCache]. LCC (Lack of Component Cohesion) = 0.91
materialistic-3.3,io.github.hidroh.materialistic.test.shadow,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ShadowTextView]; [ShadowWebView]; [ShadowSupportPreference]; [ShadowSupportDrawerLayout]; [ShadowSupportPreferenceManager]; [ShadowSwipeRefreshLayout]; [ShadowSnackbar]; [ShadowSearchRecentSuggestions]; [ShadowItemTouchHelper]; [ShadowRecyclerViewAdapter; CustomShadows; ShadowRecyclerView; ShadowNestedScrollView]; [ShadowPreferenceFragmentCompat]; [ShadowAnimation]; [ShadowFloatingActionButton]. LCC (Lack of Component Cohesion) = 0.81
materialistic-3.3,io.github.hidroh.materialistic.preference,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ThemePreferenceTest; ThemePreference]; [FontPreferenceTest; FontPreference; SpinnerPreference; FontSizePreferenceTest; FontSizePreference; SimpleSpinnerPreference]; [ThemePreference.ThemeSpec]; [ThemePreference.DarkSpec]; [ThemePreference.DayNightSpec]; [PreferenceHelp]. LCC (Lack of Component Cohesion) = 0.5
materialistic-3.3,io.github.hidroh.materialistic.accounts,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): io.github.hidroh.materialistic
materialistic-3.3,io.github.hidroh.materialistic.accounts,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AuthenticatorServiceTest; AuthenticatorService; AccountAuthenticator; EmptyAccountAuthenticator; AccountAuthenticatorTest]; [UserServicesClientTest; UserServicesClient; UserServices]; [UserServices.Callback]; [UserServices.Exception]. LCC (Lack of Component Cohesion) = 0.4
materialistic-3.3,io.github.hidroh.materialistic.appwidget,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [WidgetConfigActivityTest; WidgetConfigActivity; WidgetProvider; WidgetHelper; WidgetServiceTest; WidgetService; WidgetProviderTest]; [WidgetService.ListRemoteViewsFactory]; [WidgetConfigActivity.WidgetConfigurationFragment]; [WidgetRefreshJobService]; [WidgetHelper.WidgetConfig]. LCC (Lack of Component Cohesion) = 0.45
materialistic-3.3,io.github.hidroh.materialistic.data,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 76
