Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
materialistic-3.3,io.github.hidroh.materialistic,DrawerActivityLoginTest,testOpenUserProfile,Long Statement,The length of the statement "((ShadowSupportDrawerLayout)Shadow.extract(activity.findViewById(R.id.drawer_layout))).getDrawerListeners().get(0).onDrawerClosed(activity.findViewById(R.id.drawer));" is 166.,71
materialistic-3.3,io.github.hidroh.materialistic,DrawerActivityLoginTest,testOpenUserProfile,Long Statement,The length of the statement "assertThat(shadowOf(activity).getNextStartedActivity()).hasComponent(activity`UserActivity.class).hasExtra(UserActivity.EXTRA_USERNAME`"username");" is 147.,71
materialistic-3.3,io.github.hidroh.materialistic,DrawerActivityLoginTest,testAddAccount,Long Statement,The length of the statement "((ShadowSupportDrawerLayout)Shadow.extract(activity.findViewById(R.id.drawer_layout))).getDrawerListeners().get(0).onDrawerClosed(activity.findViewById(R.id.drawer));" is 166.,101
materialistic-3.3,io.github.hidroh.materialistic,DrawerActivityLoginTest,testRemoveAccount,Magic Number,The method contains a magic number: 21,118
materialistic-3.3,io.github.hidroh.materialistic,FavoriteActivityTest,setUp,Long Statement,The length of the statement "when(favoriteManager.getItem(eq(0))).thenReturn(new TestFavorite("1"`"http://example.com"`"title"`System.currentTimeMillis()));" is 127.,100
materialistic-3.3,io.github.hidroh.materialistic,FavoriteActivityTest,setUp,Long Statement,The length of the statement "when(favoriteManager.getItem(eq(1))).thenReturn(new TestFavorite("2"`"http://example.com"`"ask HN"`System.currentTimeMillis()));" is 128.,100
materialistic-3.3,io.github.hidroh.materialistic,FavoriteActivityTest,setUp,Magic Number,The method contains a magic number: 2,100
materialistic-3.3,io.github.hidroh.materialistic,FavoriteActivityTest,testOptionsMenuClear,Magic Number,The method contains a magic number: 2,132
materialistic-3.3,io.github.hidroh.materialistic,FavoriteActivityTest,testSearchView,Long Statement,The length of the statement "SearchView.OnCloseListener closeListener=searchViewCloseListener.getAllValues().get(searchViewCloseListener.getAllValues().size() - 1);" is 135.,149
materialistic-3.3,io.github.hidroh.materialistic,FavoriteActivityTest,testSearchView,Long Statement,The length of the statement "when(favoriteManager.getItem(eq(0))).thenReturn(new TestFavorite("2"`"http://example.com"`"ask HN"`System.currentTimeMillis()));" is 128.,149
materialistic-3.3,io.github.hidroh.materialistic,FavoriteActivityTest,testSearchView,Magic Number,The method contains a magic number: 2,149
materialistic-3.3,io.github.hidroh.materialistic,FavoriteActivityTest,testSearchView,Magic Number,The method contains a magic number: 2,149
materialistic-3.3,io.github.hidroh.materialistic,FavoriteActivityTest,testItemClick,Magic Number,The method contains a magic number: 2,174
materialistic-3.3,io.github.hidroh.materialistic,FavoriteActivityTest,testDelete,Magic Number,The method contains a magic number: 2,199
materialistic-3.3,io.github.hidroh.materialistic,FavoriteActivityTest,testSwipeToDelete,Magic Number,The method contains a magic number: 2,233
materialistic-3.3,io.github.hidroh.materialistic,FavoriteActivityTest,testSwipeToDelete,Magic Number,The method contains a magic number: 2,233
materialistic-3.3,io.github.hidroh.materialistic,FavoriteActivityTest,testSaveState,Long Statement,The length of the statement "ActivityController<TestFavoriteActivity> controller=Robolectric.buildActivity(TestFavoriteActivity.class).create(outState).postCreate(outState).start().resume().visible();" is 171.,281
materialistic-3.3,io.github.hidroh.materialistic,FavoriteActivityTest,testSaveState,Magic Number,The method contains a magic number: 2,281
materialistic-3.3,io.github.hidroh.materialistic,FavoriteActivityTest,testRemoveClearSelection,Long Statement,The length of the statement "MaterialisticDatabase.getInstance(RuntimeEnvironment.application).setLiveValue(MaterialisticDatabase.getBaseSavedUri().buildUpon().appendPath("remove").appendPath("3").build());" is 177.,363
materialistic-3.3,io.github.hidroh.materialistic,FavoriteActivityTest,testRemoveClearSelection,Long Statement,The length of the statement "MaterialisticDatabase.getInstance(RuntimeEnvironment.application).setLiveValue(MaterialisticDatabase.getBaseSavedUri().buildUpon().appendPath("remove").appendPath("2").build());" is 177.,363
