Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
materialistic-3.3,io.github.hidroh.materialistic,DrawerActivityLoginTest,setUp,8,1,0,39,0,,
materialistic-3.3,io.github.hidroh.materialistic,DrawerActivityLoginTest,testNoExistingAccount,15,1,0,54,1,,
materialistic-3.3,io.github.hidroh.materialistic,DrawerActivityLoginTest,testOpenUserProfile,6,1,0,71,1,,
materialistic-3.3,io.github.hidroh.materialistic,DrawerActivityLoginTest,testExistingAccount,15,1,0,83,1,,
materialistic-3.3,io.github.hidroh.materialistic,DrawerActivityLoginTest,testAddAccount,11,1,0,101,1,,
materialistic-3.3,io.github.hidroh.materialistic,DrawerActivityLoginTest,testRemoveAccount,11,1,0,118,1,,
materialistic-3.3,io.github.hidroh.materialistic,DrawerActivityLoginTest,testMoreToggle,6,1,0,133,1,,
materialistic-3.3,io.github.hidroh.materialistic,DrawerActivityLoginTest,tearDown,4,1,0,141,0,,
materialistic-3.3,io.github.hidroh.materialistic,FavoriteActivityTest,setUp,19,1,0,100,0,,
materialistic-3.3,io.github.hidroh.materialistic,FavoriteActivityTest,testNewIntent,7,1,0,123,1,,
materialistic-3.3,io.github.hidroh.materialistic,FavoriteActivityTest,testOptionsMenuClear,14,1,0,132,1,,
materialistic-3.3,io.github.hidroh.materialistic,FavoriteActivityTest,testSearchView,19,1,0,149,1,,
materialistic-3.3,io.github.hidroh.materialistic,FavoriteActivityTest,testItemClick,6,1,0,174,1,,
materialistic-3.3,io.github.hidroh.materialistic,FavoriteActivityTest,testActionMode,5,1,0,182,1,,
materialistic-3.3,io.github.hidroh.materialistic,FavoriteActivityTest,testSelectionToggle,8,1,0,189,1,,
materialistic-3.3,io.github.hidroh.materialistic,FavoriteActivityTest,testDelete,18,1,0,199,1,,
materialistic-3.3,io.github.hidroh.materialistic,FavoriteActivityTest,testRefresh,8,1,0,222,1,,
materialistic-3.3,io.github.hidroh.materialistic,FavoriteActivityTest,testSwipeToDelete,14,1,0,233,1,,
materialistic-3.3,io.github.hidroh.materialistic,FavoriteActivityTest,testSwipeToRefresh,5,1,0,253,1,,
materialistic-3.3,io.github.hidroh.materialistic,FavoriteActivityTest,testExport,4,1,0,262,1,,
materialistic-3.3,io.github.hidroh.materialistic,FavoriteActivityTest,testFilter,11,1,0,268,1,,
materialistic-3.3,io.github.hidroh.materialistic,FavoriteActivityTest,testSaveState,8,1,0,281,1,,
materialistic-3.3,io.github.hidroh.materialistic,FavoriteActivityTest,testVoteItem,9,1,0,298,1,,
materialistic-3.3,io.github.hidroh.materialistic,FavoriteActivityTest,testVoteItemPromptToLogin,9,1,0,311,1,,
materialistic-3.3,io.github.hidroh.materialistic,FavoriteActivityTest,testVoteItemFailed,9,1,0,325,1,,
materialistic-3.3,io.github.hidroh.materialistic,FavoriteActivityTest,testReply,7,1,0,338,1,,
materialistic-3.3,io.github.hidroh.materialistic,FavoriteActivityTest,testShare,8,1,0,350,1,,
materialistic-3.3,io.github.hidroh.materialistic,FavoriteActivityTest,testRemoveClearSelection,9,1,0,363,1,,
materialistic-3.3,io.github.hidroh.materialistic,FavoriteActivityTest,testClearSelection,5,1,0,389,1,,
materialistic-3.3,io.github.hidroh.materialistic,FavoriteActivityTest,testVolumeNavigation,9,1,0,400,1,,
materialistic-3.3,io.github.hidroh.materialistic,FavoriteActivityTest,tearDown,5,1,0,414,0,,
materialistic-3.3,io.github.hidroh.materialistic,ReadabilityFragmentLazyLoadTest,setUp,19,1,0,34,0,,
materialistic-3.3,io.github.hidroh.materialistic,ReadabilityFragmentLazyLoadTest,getId,3,1,0,47,0,,
materialistic-3.3,io.github.hidroh.materialistic,ReadabilityFragmentLazyLoadTest,getUrl,3,1,0,52,0,,
materialistic-3.3,io.github.hidroh.materialistic,ReadabilityFragmentLazyLoadTest,testLazyLoadByDefault,7,1,0,61,1,,
materialistic-3.3,io.github.hidroh.materialistic,ReadabilityFragmentLazyLoadTest,testVisible,8,1,0,75,1,,
materialistic-3.3,io.github.hidroh.materialistic,ReadabilityFragmentLazyLoadTest,tearDown,3,1,0,93,0,,
materialistic-3.3,io.github.hidroh.materialistic,OfflineWebActivityTest,setUp,3,1,0,47,0,,
materialistic-3.3,io.github.hidroh.materialistic,OfflineWebActivityTest,testNoUrl,4,1,0,52,1,,
materialistic-3.3,io.github.hidroh.materialistic,OfflineWebActivityTest,testLoadUrl,15,1,0,58,1,,
