Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
materialistic-3.3,io.github.hidroh.materialistic,DrawerActivityLoginTest,testNoExistingAccount,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 9
materialistic-3.3,io.github.hidroh.materialistic,DrawerActivityLoginTest,testExistingAccount,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
materialistic-3.3,io.github.hidroh.materialistic,DrawerActivityLoginTest,testAddAccount,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
materialistic-3.3,io.github.hidroh.materialistic,DrawerActivityLoginTest,testRemoveAccount,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
materialistic-3.3,io.github.hidroh.materialistic,DrawerActivityLoginTest,testMoreToggle,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
materialistic-3.3,io.github.hidroh.materialistic,FavoriteActivityTest,testNewIntent,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
materialistic-3.3,io.github.hidroh.materialistic,FavoriteActivityTest,testOptionsMenuClear,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
materialistic-3.3,io.github.hidroh.materialistic,FavoriteActivityTest,testSearchView,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
materialistic-3.3,io.github.hidroh.materialistic,FavoriteActivityTest,testItemClick,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
materialistic-3.3,io.github.hidroh.materialistic,FavoriteActivityTest,testSelectionToggle,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
materialistic-3.3,io.github.hidroh.materialistic,FavoriteActivityTest,testDelete,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
materialistic-3.3,io.github.hidroh.materialistic,FavoriteActivityTest,testRefresh,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
materialistic-3.3,io.github.hidroh.materialistic,FavoriteActivityTest,testSwipeToDelete,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
materialistic-3.3,io.github.hidroh.materialistic,FavoriteActivityTest,testSwipeToRefresh,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
materialistic-3.3,io.github.hidroh.materialistic,FavoriteActivityTest,testExport,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
materialistic-3.3,io.github.hidroh.materialistic,FavoriteActivityTest,testVoteItem,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
materialistic-3.3,io.github.hidroh.materialistic,FavoriteActivityTest,testVoteItemPromptToLogin,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
materialistic-3.3,io.github.hidroh.materialistic,FavoriteActivityTest,testVoteItemFailed,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
materialistic-3.3,io.github.hidroh.materialistic,FavoriteActivityTest,testReply,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
