Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
materialistic-3.3,io.github.hidroh.materialistic,FavoriteActivityTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 13
materialistic-3.3,io.github.hidroh.materialistic,TestActivityModule,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 19
materialistic-3.3,io.github.hidroh.materialistic,TestApplication,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: applicationGraph (27)
materialistic-3.3,io.github.hidroh.materialistic,WebFragmentLocalTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
materialistic-3.3,io.github.hidroh.materialistic,UserActivityTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
materialistic-3.3,io.github.hidroh.materialistic,ItemActivityTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 16
materialistic-3.3,io.github.hidroh.materialistic,ThreadPreviewActivityTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
materialistic-3.3,io.github.hidroh.materialistic,AppUtilsTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 11
materialistic-3.3,io.github.hidroh.materialistic,WebFragmentTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
materialistic-3.3,io.github.hidroh.materialistic,Preferences.BoolToStringPref,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
materialistic-3.3,io.github.hidroh.materialistic,Preferences.Theme,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
materialistic-3.3,io.github.hidroh.materialistic,Preferences.Offline,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
materialistic-3.3,io.github.hidroh.materialistic,Preferences.Observable,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
