Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
materialistic-3.3,io.github.hidroh.materialistic,DrawerActivityLoginTest,5,0,8,8,83,8,0,0,0.0,0,4,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/materialistic-3.3/app/src/test/java/io/github/hidroh/materialistic/DrawerActivityLoginTest.java,29
materialistic-3.3,io.github.hidroh.materialistic,FavoriteActivityTest,16,0,23,23,234,23,0,0,0.0,0,13,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/materialistic-3.3/app/src/test/java/io/github/hidroh/materialistic/FavoriteActivityTest.java,80
materialistic-3.3,io.github.hidroh.materialistic,ReadabilityFragmentLazyLoadTest,4,0,6,6,43,6,0,0,0.5,0,5,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/materialistic-3.3/app/src/test/java/io/github/hidroh/materialistic/ReadabilityFragmentLazyLoadTest.java,27
materialistic-3.3,io.github.hidroh.materialistic,OfflineWebActivityTest,2,0,6,6,41,6,0,0,0.0,0,2,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/materialistic-3.3/app/src/test/java/io/github/hidroh/materialistic/OfflineWebActivityTest.java,40
materialistic-3.3,io.github.hidroh.materialistic,TestActivityModule,20,0,45,45,184,45,0,0,0.6444444444444445,0,19,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/materialistic-3.3/app/src/test/java/io/github/hidroh/materialistic/TestActivityModule.java,63
materialistic-3.3,io.github.hidroh.materialistic,TestApplication,1,1,6,5,46,7,0,2,0.8333333333333334,16,3,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/materialistic-3.3/app/src/test/java/io/github/hidroh/materialistic/TestApplication.java,26
materialistic-3.3,io.github.hidroh.materialistic,DrawerActivityTest,4,0,5,5,28,5,0,0,0.4,0,1,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/materialistic-3.3/app/src/test/java/io/github/hidroh/materialistic/DrawerActivityTest.java,26
materialistic-3.3,io.github.hidroh.materialistic,WebFragmentLocalTest,4,0,19,19,115,19,0,0,0.7894736842105263,0,8,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/materialistic-3.3/app/src/test/java/io/github/hidroh/materialistic/WebFragmentLocalTest.java,49
materialistic-3.3,io.github.hidroh.materialistic,UserActivityTest,8,0,23,23,170,23,0,0,0.391304347826087,0,9,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/materialistic-3.3/app/src/test/java/io/github/hidroh/materialistic/UserActivityTest.java,50
materialistic-3.3,io.github.hidroh.materialistic,ItemActivityTest,8,0,70,68,476,70,0,0,0.6571428571428571,0,16,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/materialistic-3.3/app/src/test/java/io/github/hidroh/materialistic/ItemActivityTest.java,76
materialistic-3.3,io.github.hidroh.materialistic,StoryRecyclerViewAdapterTest,4,0,13,13,71,13,0,0,0.7692307692307693,0,6,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/materialistic-3.3/app/src/test/java/io/github/hidroh/materialistic/StoryRecyclerViewAdapterTest.java,39
materialistic-3.3,io.github.hidroh.materialistic,SettingsActivityTest,2,0,12,12,65,12,0,0,0.0,0,6,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/materialistic-3.3/app/src/test/java/io/github/hidroh/materialistic/SettingsActivityTest.java,28
materialistic-3.3,io.github.hidroh.materialistic,FeedbackActivityTest,4,0,8,8,66,8,0,0,0.0,0,3,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/materialistic-3.3/app/src/test/java/io/github/hidroh/materialistic/FeedbackActivityTest.java,34
materialistic-3.3,io.github.hidroh.materialistic,PreferencesThemeTest,1,0,3,3,15,3,0,0,0.0,0,1,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/materialistic-3.3/app/src/test/java/io/github/hidroh/materialistic/PreferencesThemeTest.java,16
materialistic-3.3,io.github.hidroh.materialistic,NestedScrollViewScrollHelperTest,2,0,4,4,20,4,0,0,0.0,0,1,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/materialistic-3.3/app/src/test/java/io/github/hidroh/materialistic/NestedScrollViewScrollHelperTest.java,31
materialistic-3.3,io.github.hidroh.materialistic,PopularActivityTest,6,0,5,5,37,5,0,0,0.4,0,6,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/materialistic-3.3/app/src/test/java/io/github/hidroh/materialistic/PopularActivityTest.java,31
materialistic-3.3,io.github.hidroh.materialistic,SearchActivityTest,3,0,5,5,43,5,0,0,0.0,0,6,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/materialistic-3.3/app/src/test/java/io/github/hidroh/materialistic/SearchActivityTest.java,34
materialistic-3.3,io.github.hidroh.materialistic,SubmitActivityTest,4,0,17,17,147,17,0,0,0.0,0,6,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/materialistic-3.3/app/src/test/java/io/github/hidroh/materialistic/SubmitActivityTest.java,43
materialistic-3.3,io.github.hidroh.materialistic,ThreadPreviewActivityTest,5,0,14,14,82,14,0,0,0.6428571428571429,0,9,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/materialistic-3.3/app/src/test/java/io/github/hidroh/materialistic/ThreadPreviewActivityTest.java,56
materialistic-3.3,io.github.hidroh.materialistic,RecyclerViewScrollHelperTest,4,0,7,7,57,7,0,0,0.2857142857142857,0,1,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/materialistic-3.3/app/src/test/java/io/github/hidroh/materialistic/RecyclerViewScrollHelperTest.java,36
materialistic-3.3,io.github.hidroh.materialistic,StoriesActivityTest,0,0,4,4,30,4,0,0,-1.0,0,5,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/materialistic-3.3/app/src/test/java/io/github/hidroh/materialistic/StoriesActivityTest.java,13
materialistic-3.3,io.github.hidroh.materialistic,PreferencesMigrationTest,4,0,5,5,34,5,0,0,0.4,0,1,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/materialistic-3.3/app/src/test/java/io/github/hidroh/materialistic/PreferencesMigrationTest.java,19
materialistic-3.3,io.github.hidroh.materialistic,FavoriteActivityEmptyTest,4,0,4,4,35,4,0,0,0.0,0,2,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/materialistic-3.3/app/src/test/java/io/github/hidroh/materialistic/FavoriteActivityEmptyTest.java,32
materialistic-3.3,io.github.hidroh.materialistic,AppUtilsTest,2,0,19,19,124,19,0,0,0.42105263157894735,0,11,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/materialistic-3.3/app/src/test/java/io/github/hidroh/materialistic/AppUtilsTest.java,46
materialistic-3.3,io.github.hidroh.materialistic,WebFragmentTest,6,0,17,17,182,17,0,0,0.17647058823529413,0,8,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/materialistic-3.3/app/src/test/java/io/github/hidroh/materialistic/WebFragmentTest.java,70
materialistic-3.3,io.github.hidroh.materialistic,KeyDelegateTest,5,0,10,10,86,10,0,0,0.0,0,2,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/materialistic-3.3/app/src/test/java/io/github/hidroh/materialistic/KeyDelegateTest.java,43
materialistic-3.3,io.github.hidroh.materialistic,ComposeActivityTest,4,0,20,19,142,20,0,0,0.0,0,5,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/materialistic-3.3/app/src/test/java/io/github/hidroh/materialistic/ComposeActivityTest.java,43
materialistic-3.3,io.github.hidroh.materialistic,PreferencesActivityTest,3,0,5,5,36,5,0,0,0.0,0,3,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/materialistic-3.3/app/src/test/java/io/github/hidroh/materialistic/PreferencesActivityTest.java,40
materialistic-3.3,io.github.hidroh.materialistic,PreferencesActivityTest.TestPreferencesActivity,1,0,0,0,6,0,0,2,-1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/materialistic-3.3/app/src/test/java/io/github/hidroh/materialistic/PreferencesActivityTest.java,98
materialistic-3.3,io.github.hidroh.materialistic,FabAwareScrollBehavior,1,0,4,4,31,10,0,0,1.0,1,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/materialistic-3.3/app/src/main/java/io/github/hidroh/materialistic/FabAwareScrollBehavior.java,29
materialistic-3.3,io.github.hidroh.materialistic,MenuTintDelegate,1,0,3,3,33,5,0,0,0.0,3,1,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/materialistic-3.3/app/src/main/java/io/github/hidroh/materialistic/MenuTintDelegate.java,27
materialistic-3.3,io.github.hidroh.materialistic,KeyDelegate,16,0,11,7,0,32,1,0,0.0,16,1,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/materialistic-3.3/app/src/main/java/io/github/hidroh/materialistic/KeyDelegate.java,34
materialistic-3.3,io.github.hidroh.materialistic,KeyDelegate.RecyclerViewHelper,5,0,0,0,0,0,0,1,-1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/materialistic-3.3/app/src/main/java/io/github/hidroh/materialistic/KeyDelegate.java,223
materialistic-3.3,io.github.hidroh.materialistic,KeyDelegate.NestedScrollViewHelper,1,0,0,0,18,0,0,1,-1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/materialistic-3.3/app/src/main/java/io/github/hidroh/materialistic/KeyDelegate.java,330
materialistic-3.3,io.github.hidroh.materialistic,KeyDelegate.BackInterceptor,0,0,0,0,10,0,0,0,-1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/materialistic-3.3/app/src/main/java/io/github/hidroh/materialistic/KeyDelegate.java,357
materialistic-3.3,io.github.hidroh.materialistic,UserActivity,18,1,20,11,0,39,0,2,0.3,4,6,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/materialistic-3.3/app/src/main/java/io/github/hidroh/materialistic/UserActivity.java,51
materialistic-3.3,io.github.hidroh.materialistic,UserActivity.UserResponseListener,1,0,0,0,16,0,0,0,-1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/materialistic-3.3/app/src/main/java/io/github/hidroh/materialistic/UserActivity.java,253
materialistic-3.3,io.github.hidroh.materialistic,ComposeActivity,16,2,9,4,171,27,0,2,0.2222222222222222,7,4,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/materialistic-3.3/app/src/main/java/io/github/hidroh/materialistic/ComposeActivity.java,40
materialistic-3.3,io.github.hidroh.materialistic,ComposeActivity.ComposeCallback,3,0,0,0,21,0,0,0,-1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/materialistic-3.3/app/src/main/java/io/github/hidroh/materialistic/ComposeActivity.java,218
materialistic-3.3,io.github.hidroh.materialistic,Preferences,12,0,51,39,0,61,0,0,0.5294117647058824,44,1,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/materialistic-3.3/app/src/main/java/io/github/hidroh/materialistic/Preferences.java,46
materialistic-3.3,io.github.hidroh.materialistic,Preferences.SwipeAction,0,0,0,0,1,0,0,0,-1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/materialistic-3.3/app/src/main/java/io/github/hidroh/materialistic/Preferences.java,53
materialistic-3.3,io.github.hidroh.materialistic,Preferences.StoryViewMode,0,0,0,0,1,0,0,0,-1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/materialistic-3.3/app/src/main/java/io/github/hidroh/materialistic/Preferences.java,60
materialistic-3.3,io.github.hidroh.materialistic,Preferences.BoolToStringPref,4,0,0,0,18,0,0,0,-1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/materialistic-3.3/app/src/main/java/io/github/hidroh/materialistic/Preferences.java,383
materialistic-3.3,io.github.hidroh.materialistic,Preferences.Theme,0,0,0,0,0,0,0,0,-1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/materialistic-3.3/app/src/main/java/io/github/hidroh/materialistic/Preferences.java,410
materialistic-3.3,io.github.hidroh.materialistic,Preferences.Offline,0,0,0,0,24,0,0,0,-1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/materialistic-3.3/app/src/main/java/io/github/hidroh/materialistic/Preferences.java,487
materialistic-3.3,io.github.hidroh.materialistic,Preferences.Observable,4,0,0,0,41,0,0,0,-1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/materialistic-3.3/app/src/main/java/io/github/hidroh/materialistic/Preferences.java,523
materialistic-3.3,io.github.hidroh.materialistic,Preferences.Observer,0,0,0,0,3,0,0,0,-1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/materialistic-3.3/app/src/main/java/io/github/hidroh/materialistic/Preferences.java,572
materialistic-3.3,io.github.hidroh.materialistic,OfflineWebActivity,1,0,4,3,50,8,0,2,1.0,3,3,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/materialistic-3.3/app/src/main/java/io/github/hidroh/materialistic/OfflineWebActivity.java,33
materialistic-3.3,io.github.hidroh.materialistic,FavoriteActivity,4,0,7,0,62,11,0,4,0.5714285714285714,5,3,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/materialistic-3.3/app/src/main/java/io/github/hidroh/materialistic/FavoriteActivity.java,32
