,FullClassPath,Project,SpeculativeGenerality,BaseClassKnowsDerivedClass,MessageChains,LongParameterList,SpaghettiCode,BaseClassShouldBeAbstract,LongMethod,ClassDataShouldBePrivate,TraditionBreaker,ManyFieldAttributesButNotComplex,RefusedParentBequest,SwissArmyKnife,Blob,AntiSingleton,ComplexClass,LargeClass,FunctionalDecomposition,LazyClass,classname2,Fullpathname,Classname,loc,numAttr,numMethod,setters,getters,isPersist,isCollection,numWordName,isOrEr,isController,numIfs,numParameters,numImports,numOutboundInvocation,numInnerClasses,isStaticClass,isInterface,isInnerClass,isClass,isEnum,classPublicity,numPublicMethods,numPrivateMethods,numProtectedMethods,isAbstract,label
0, com.jakewharton.telecine.BugsnagTree,Telecine-1.6.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,BugsnagTree,Telecine-1.6.2/telecine/src/main/java/com/jakewharton/telecine/BugsnagTree.java,BugsnagTree,57,2,3,0,0,FALSE,FALSE,2,FALSE,FALSE,3,6,7,3,0,TRUE,FALSE,FALSE,TRUE,FALSE,default,0,0,0,FALSE,Service Provider
1, com.jakewharton.telecine.CaptureHelper,Telecine-1.6.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CaptureHelper,Telecine-1.6.2/telecine/src/main/java/com/jakewharton/telecine/CaptureHelper.java,CaptureHelper,51,1,2,0,0,FALSE,FALSE,2,TRUE,FALSE,2,7,6,5,0,TRUE,FALSE,FALSE,TRUE,FALSE,default,0,0,0,FALSE,Service Provider
2, com.jakewharton.telecine.CheatSheet,Telecine-1.6.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,CheatSheet,Telecine-1.6.2/telecine/src/main/java/com/jakewharton/telecine/CheatSheet.java,CheatSheet,145,1,5,3,0,FALSE,FALSE,2,FALSE,FALSE,2,8,6,11,0,TRUE,FALSE,FALSE,TRUE,FALSE,default,0,0,0,FALSE,Service Provider
3, com.jakewharton.telecine.DeleteRecordingBroadcastReceiver,Telecine-1.6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,DeleteRecordingBroadcastReceiver,Telecine-1.6.2/telecine/src/main/java/com/jakewharton/telecine/DeleteRecordingBroadcastReceiver.java,DeleteRecordingBroadcastReceiver,35,0,1,0,0,FALSE,FALSE,4,TRUE,FALSE,1,2,10,3,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Service Provider
4, com.jakewharton.telecine.RecordingSession,Telecine-1.6.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RecordingSession,Telecine-1.6.2/telecine/src/main/java/com/jakewharton/telecine/RecordingSession.java,RecordingSession,439,23,10,0,1,FALSE,FALSE,2,FALSE,FALSE,13,11,48,48,0,TRUE,FALSE,FALSE,TRUE,FALSE,default,0,0,0,FALSE,Interfacer
5, com.jakewharton.telecine.TelecineActivity,Telecine-1.6.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,TelecineActivity,Telecine-1.6.2/telecine/src/main/java/com/jakewharton/telecine/TelecineActivity.java,TelecineActivity,185,15,10,0,0,FALSE,FALSE,2,FALSE,FALSE,8,5,23,35,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Interfacer
6, com.jakewharton.telecine.TelecineApplication,Telecine-1.6.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,TelecineApplication,Telecine-1.6.2/telecine/src/main/java/com/jakewharton/telecine/TelecineApplication.java,TelecineApplication,42,1,2,0,0,FALSE,FALSE,2,FALSE,FALSE,1,0,5,5,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Service Provider
7, com.jakewharton.telecine.TelecineService,Telecine-1.6.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,TelecineService,Telecine-1.6.2/telecine/src/main/java/com/jakewharton/telecine/TelecineService.java,TelecineService,112,13,4,0,0,FALSE,FALSE,2,FALSE,FALSE,5,7,12,10,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Interfacer
8, com.jakewharton.telecine.VideoSizePercentageAdapter,Telecine-1.6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,VideoSizePercentageAdapter,Telecine-1.6.2/telecine/src/main/java/com/jakewharton/telecine/VideoSizePercentageAdapter.java,VideoSizePercentageAdapter,55,1,5,0,5,FALSE,FALSE,4,TRUE,FALSE,3,6,7,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,default,0,0,0,FALSE,Service Provider
9,com.amaze.filemanager.adapters.AppsAdapter,AmazeFileManager-3.5.2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,AppsAdapter,AmazeFileManager-3.5.2/app/src/main/java/com/amaze/filemanager/adapters/AppsAdapter.java,AppsAdapter,348,9,4,1,1,FALSE,FALSE,2,TRUE,FALSE,19,7,43,48,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Interfacer
10,com.amaze.filemanager.adapters.CompressedExplorerAdapter,AmazeFileManager-3.5.2,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,CompressedExplorerAdapter,AmazeFileManager-3.5.2/app/src/main/java/com/amaze/filemanager/adapters/CompressedExplorerAdapter.java,CompressedExplorerAdapter,381,12,9,0,3,FALSE,FALSE,3,TRUE,FALSE,23,11,35,32,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Service Provider
11,com.amaze.filemanager.adapters.HiddenAdapter,AmazeFileManager-3.5.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HiddenAdapter,AmazeFileManager-3.5.2/app/src/main/java/com/amaze/filemanager/adapters/HiddenAdapter.java,HiddenAdapter,174,8,5,0,2,FALSE,FALSE,2,TRUE,FALSE,4,6,23,12,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Service Provider
12,com.amaze.filemanager.adapters.RecyclerAdapter,AmazeFileManager-3.5.2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,RecyclerAdapter,AmazeFileManager-3.5.2/app/src/main/java/com/amaze/filemanager/adapters/RecyclerAdapter.java,RecyclerAdapter,1132,16,24,2,7,FALSE,FALSE,2,TRUE,FALSE,101,37,59,94,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Service Provider
