Fullpathname,Project,Classname,loc,numAttr,numMethod,setters,getters,isPersist,isCollection,numWordName,isOrEr,isController,numIfs,numParameters,numImports,numOutboundInvocation,numInnerClasses,isStaticClass,isInterface,isInnerClass,isClass,isEnum,classPublicity,numPublicMethods,numPrivateMethods,numProtectedMethods,isAbstract,label
gnucash-android-v2.4.1/app/src/main/java/org/gnucash/android/app/GnuCashApplication.java,gnucash-android-2.4.1,GnuCashApplication,371,15,23,2,14,True,False,3,False,False,5,4,41,28,0.0,True,False,False,True,False,public,0,0,0,False,Interfacer
gnucash-android-v2.4.1/app/src/main/java/org/gnucash/android/db/BookDbHelper.java,gnucash-android-2.4.1,BookDbHelper,186,3,5,0,1,True,False,3,True,False,2,8,18,25,0.0,True,False,False,True,False,public,0,0,0,False,Service Provider
gnucash-android-v2.4.1/app/src/main/java/org/gnucash/android/db/DatabaseCursorLoader.java,gnucash-android-2.4.1,DatabaseCursorLoader,148,3,7,0,0,False,False,3,True,False,8,4,5,4,0.0,True,False,False,True,False,public,0,0,0,True,Service Provider
gnucash-android-v2.4.1/app/src/main/java/org/gnucash/android/db/DatabaseHelper.java,gnucash-android-2.4.1,DatabaseHelper,362,10,5,0,0,True,False,2,True,False,1,7,21,5,0.0,True,False,False,True,False,public,0,0,0,False,Service Provider
gnucash-android-v2.4.1/app/src/main/java/org/gnucash/android/db/DatabaseSchema.java,gnucash-android-2.4.1,DatabaseSchema,277,4,0,0,0,False,False,2,False,False,0,0,1,0,0.0,True,False,False,True,False,public,0,0,0,False,Information Holder
gnucash-android-v2.4.1/app/src/main/java/org/gnucash/android/db/MigrationHelper.java,gnucash-android-2.4.1,MigrationHelper,1678,2,23,0,2,True,False,2,True,False,24,27,62,159,0.0,True,False,False,True,False,public,0,0,0,False,Service Provider
gnucash-android-v2.4.1/app/src/main/java/org/gnucash/android/db/adapter/AccountsDbAdapter.java,gnucash-android-2.4.1,AccountsDbAdapter,1317,4,57,1,30,True,False,3,True,False,38,70,30,122,0.0,True,False,False,True,False,public,0,0,0,False,Service Provider
gnucash-android-v2.4.1/app/src/main/java/org/gnucash/android/db/adapter/BooksDbAdapter.java,gnucash-android-2.4.1,BooksDbAdapter,322,0,17,3,7,True,False,3,True,False,8,8,17,34,0.0,True,False,False,True,False,public,0,0,0,False,Service Provider
gnucash-android-v2.4.1/app/src/main/java/org/gnucash/android/db/adapter/BudgetAmountsDbAdapter.java,gnucash-android-2.4.1,BudgetAmountsDbAdapter,141,0,7,1,4,True,False,4,True,False,0,7,10,13,0.0,True,False,False,True,False,public,0,0,0,False,Service Provider
gnucash-android-v2.4.1/app/src/main/java/org/gnucash/android/db/adapter/BudgetsDbAdapter.java,gnucash-android-2.4.1,BudgetsDbAdapter,191,2,8,1,3,True,False,3,True,False,3,12,14,21,0.0,True,False,False,True,False,public,0,0,0,False,Service Provider
gnucash-android-v2.4.1/app/src/main/java/org/gnucash/android/db/adapter/CommoditiesDbAdapter.java,gnucash-android-2.4.1,CommoditiesDbAdapter,139,0,7,1,3,True,False,3,True,False,2,6,10,15,0.0,True,False,False,True,False,public,0,0,0,False,Service Provider
gnucash-android-v2.4.1/app/src/main/java/org/gnucash/android/db/adapter/DatabaseAdapter.java,gnucash-android-2.4.1,DatabaseAdapter,803,7,38,1,14,True,False,2,True,False,21,45,17,42,0.0,True,False,False,True,False,public,0,0,0,True,Service Provider
gnucash-android-v2.4.1/app/src/main/java/org/gnucash/android/db/adapter/PricesDbAdapter.java,gnucash-android-2.4.1,PricesDbAdapter,127,0,4,1,2,True,False,3,True,False,6,5,9,14,0.0,True,False,False,True,False,public,0,0,0,False,Service Provider
gnucash-android-v2.4.1/app/src/main/java/org/gnucash/android/db/adapter/RecurrenceDbAdapter.java,gnucash-android-2.4.1,RecurrenceDbAdapter,181,0,5,1,1,True,False,3,True,False,6,5,14,13,0.0,True,False,False,True,False,public,0,0,0,False,Service Provider
gnucash-android-v2.4.1/app/src/main/java/org/gnucash/android/db/adapter/ScheduledActionDbAdapter.java,gnucash-android-2.4.1,ScheduledActionDbAdapter,246,1,9,1,4,True,False,4,True,False,1,10,13,34,0.0,True,False,False,True,False,public,0,0,0,False,Service Provider
