index,FullClassPath,Project,SpeculativeGenerality,BaseClassKnowsDerivedClass,MessageChains,LongParameterList,SpaghettiCode,BaseClassShouldBeAbstract,LongMethod,ClassDataShouldBePrivate,TraditionBreaker,ManyFieldAttributesButNotComplex,RefusedParentBequest,SwissArmyKnife,Blob,AntiSingleton,ComplexClass,LargeClass,FunctionalDecomposition,LazyClass,classname2,Fullpathname,Classname,loc,numAttr,numMethod,setters,getters,isPersist,isCollection,numWordName,isOrEr,isController,numIfs,numParameters,numImports,numOutboundInvocation,numInnerClasses,isStaticClass,isInterface,isInnerClass,isClass,isEnum,classPublicity,numPublicMethods,numPrivateMethods,numProtectedMethods,isAbstract,label,classpath,Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no,Project_type
0, com.jakewharton.telecine.BugsnagTree,Telecine-v1.6.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,BugsnagTree,Telecine-v1.6.2/src/main/java/com/jakewharton/telecine/BugsnagTree.java,BugsnagTree,57,2,3,0,0,FALSE,FALSE,2,FALSE,FALSE,3,6,7,3,0,TRUE,FALSE,FALSE,TRUE,FALSE,default,0,0,0,FALSE,Service Provider,com.jakewharton.telecine.BugsnagTree,Telecine-1.6.2,com.jakewharton.telecine,BugsnagTree,2,0,3,0,0,10,0,0,0,1,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/Telecine-1.6.2/telecine/src/main/java/com/jakewharton/telecine/BugsnagTree.java,11,Mobile
1, com.jakewharton.telecine.CaptureHelper,Telecine-v1.6.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CaptureHelper,Telecine-v1.6.2/src/main/java/com/jakewharton/telecine/CaptureHelper.java,CaptureHelper,51,1,2,0,0,FALSE,FALSE,2,TRUE,FALSE,2,7,6,5,0,TRUE,FALSE,FALSE,TRUE,FALSE,default,0,0,0,FALSE,Service Provider,com.jakewharton.telecine.CaptureHelper,Telecine-1.6.2,com.jakewharton.telecine,CaptureHelper,1,0,3,0,26,5,0,0,0.6666666666666666,2,2,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/Telecine-1.6.2/telecine/src/main/java/com/jakewharton/telecine/CaptureHelper.java,11,Mobile
2, com.jakewharton.telecine.CheatSheet,Telecine-v1.6.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,CheatSheet,Telecine-v1.6.2/src/main/java/com/jakewharton/telecine/CheatSheet.java,CheatSheet,145,1,5,3,0,FALSE,FALSE,2,FALSE,FALSE,2,8,6,11,0,TRUE,FALSE,FALSE,TRUE,FALSE,default,0,0,0,FALSE,Service Provider,com.jakewharton.telecine.CheatSheet,Telecine-1.6.2,com.jakewharton.telecine,CheatSheet,1,0,8,7,82,10,0,0,0.25,2,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/Telecine-1.6.2/telecine/src/main/java/com/jakewharton/telecine/CheatSheet.java,26,Mobile
3, com.jakewharton.telecine.DeleteRecordingBroadcastReceiver,Telecine-v1.6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,DeleteRecordingBroadcastReceiver,Telecine-v1.6.2/src/main/java/com/jakewharton/telecine/DeleteRecordingBroadcastReceiver.java,DeleteRecordingBroadcastReceiver,35,0,1,0,0,FALSE,FALSE,4,TRUE,FALSE,1,2,10,3,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Service Provider,com.jakewharton.telecine.DeleteRecordingBroadcastReceiver,Telecine-1.6.2,com.jakewharton.telecine,DeleteRecordingBroadcastReceiver,0,0,2,1,21,4,0,0,-1,0,1,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/Telecine-1.6.2/telecine/src/main/java/com/jakewharton/telecine/DeleteRecordingBroadcastReceiver.java,15,Mobile
4, com.jakewharton.telecine.RecordingSession,Telecine-v1.6.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RecordingSession,Telecine-v1.6.2/src/main/java/com/jakewharton/telecine/RecordingSession.java,RecordingSession,439,23,10,0,1,FALSE,FALSE,2,FALSE,FALSE,13,11,48,48,0,TRUE,FALSE,FALSE,TRUE,FALSE,default,0,0,0,FALSE,Interfacer,com.jakewharton.telecine.RecordingSession,Telecine-1.6.2,com.jakewharton.telecine,RecordingSession,27,0,19,6,279,34,0,0,0,2,2,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/Telecine-1.6.2/telecine/src/main/java/com/jakewharton/telecine/RecordingSession.java,53,Mobile
5, com.jakewharton.telecine.TelecineActivity,Telecine-v1.6.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,TelecineActivity,Telecine-v1.6.2/src/main/java/com/jakewharton/telecine/TelecineActivity.java,TelecineActivity,185,15,10,0,0,FALSE,FALSE,2,FALSE,FALSE,8,5,23,35,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Interfacer,com.jakewharton.telecine.TelecineActivity,Telecine-1.6.2,com.jakewharton.telecine,TelecineActivity,15,0,10,0,106,18,0,0,0,1,6,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/Telecine-1.6.2/telecine/src/main/java/com/jakewharton/telecine/TelecineActivity.java,28,Mobile
6, com.jakewharton.telecine.TelecineApplication,Telecine-v1.6.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,TelecineApplication,Telecine-v1.6.2/src/main/java/com/jakewharton/telecine/TelecineApplication.java,TelecineApplication,42,1,2,0,0,FALSE,FALSE,2,FALSE,FALSE,1,0,5,5,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Service Provider,com.jakewharton.telecine.TelecineApplication,Telecine-1.6.2,com.jakewharton.telecine,TelecineApplication,1,0,3,2,27,4,0,0,0.6666666666666666,1,3,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/Telecine-1.6.2/telecine/src/main/java/com/jakewharton/telecine/TelecineApplication.java,9,Mobile
7, com.jakewharton.telecine.TelecineService,Telecine-v1.6.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,TelecineService,Telecine-v1.6.2/src/main/java/com/jakewharton/telecine/TelecineService.java,TelecineService,112,13,4,0,0,FALSE,FALSE,2,FALSE,FALSE,5,7,12,10,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Interfacer,com.jakewharton.telecine.TelecineService,Telecine-1.6.2,com.jakewharton.telecine,TelecineService,13,0,7,6,70,12,0,0,0.5714285714285714,2,2,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/Telecine-1.6.2/telecine/src/main/java/com/jakewharton/telecine/TelecineService.java,18,Mobile
8, com.jakewharton.telecine.VideoSizePercentageAdapter,Telecine-v1.6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,VideoSizePercentageAdapter,Telecine-v1.6.2/src/main/java/com/jakewharton/telecine/VideoSizePercentageAdapter.java,VideoSizePercentageAdapter,55,1,5,0,5,FALSE,FALSE,4,TRUE,FALSE,3,6,7,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,default,0,0,0,FALSE,Service Provider,com.jakewharton.telecine.VideoSizePercentageAdapter,Telecine-1.6.2,com.jakewharton.telecine,VideoSizePercentageAdapter,1,0,6,4,0,13,0,0,0.6666666666666666,1,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/Telecine-1.6.2/telecine/src/main/java/com/jakewharton/telecine/VideoSizePercentageAdapter.java,11,Mobile
9,com.amaze.filemanager.adapters.AppsAdapter,AmazeFileManager-v3.5.2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,AppsAdapter,AmazeFileManager-v3.5.2/app/src/main/java/com/amaze/filemanager/adapters/AppsAdapter.java,AppsAdapter,348,9,4,1,1,FALSE,FALSE,2,TRUE,FALSE,19,7,43,48,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Interfacer,com.amaze.filemanager.adapters.AppsAdapter,AmazeFileManager-3.5.2,com.amaze.filemanager.adapters,AppsAdapter,9,0,5,3,187,29,0,0,0.4,1,14,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/AmazeFileManager-3.5.2/app/src/main/java/com/amaze/filemanager/adapters/AppsAdapter.java,70,Mobile
